A48TKB,FTSE100
1854,7687.77
1815,7648.1
1833.5,7671.11
1862,7695.88
1868,7724.22
1854,7696.51
1882.5,7731.02
1896.5,7748.51
1917.5,7762.94
1928,7778.64
1919.5,7769.14
1898.5,7755.93
1869.5,7725.43
1848.5,7700.96
1881,7730.79
1862,7715.44
1882,7731.83
1817,7643.43
1773,7615.84
1823,7665.54
1826.5,7671.53
1761.5,7587.98
1699,7533.55
1664,7490.39
1619.5,7443.43
1544.5,7334.98
1396,7141.4
1502.5,7279.42
1406,7170.69
1344,7092.43
1437.5,7177.06
1421.5,7168.01
1451,7213.97
1481.5,7234.81
1524.5,7294.7
1484,7247.66
1475,7246.77
1513.5,7281.57
1499.5,7252.39
1490.5,7244.41
1533.5,7289.58
1517,7282.45
1483,7231.91
1421,7175.64
1352,7069.9
1380.5,7115.98
1407,7146.75
1412,7157.84
1459,7203.24
1472.5,7224.51
1465,7214.76
1392.5,7138.78
1397,7132.69
1403.5,7139.76
1414,7164.14
1304,7042.93
1331.5,7061.27
1294,7038.97
1221.5,6952.59
1212,6921.94
1170,6888.69
1256.5,7000.14
1290,7044.74
1335.5,7056.61
1335.5,7056.61
1335.5,7056.61
1299,7030.46
1298.5,7034.01
1447,7199.5
1425.5,7183.64
1438.5,7194.75
1505.5,7266.75
1501.5,7257.14
1504.5,7258.34
1514,7264.56
1457,7198.2
1482,7226.05
1563,7317.34
1579.5,7328.92
1609,7368.17
1647,7398.87
1664,7425.4
1627,7379.32
1668.5,7421.43
1749.5,7502.21
1754,7509.3
1764.5,7520.36
1800,7543.2
1754,7502.69
1814.5,7567.14
1814.5,7567.14
1821,7565.75
1906,7662.52
1976,7700.97
1996.5,7724.55
1978.5,7710.98
2002.5,7722.98
2013,7734.2
2055.5,7787.97
2056,7778.79
2138.5,7859.17
2169,7877.45
2061,7788.44
2016,7716.74
2015.5,7730.28
2015.5,7730.28
1919,7632.64
1948.5,7689.57
1963,7678.2
1975.5,7701.77
2015.5,7741.29
1966.5,7686.8
1989.5,7712.37
1997,7704.4
1965,7681.07
2032.5,7737.43
1993.5,7703.81
1995.5,7703.71
2052.5,7765.79
1922.5,7633.91
1922.5,7631.33
1895,7603.85
1932,7627.4
1849.5,7556.44
1975,7682.27
1804.5,7509.84
1851.5,7537.92
1904,7621.69
1911.5,7615.63
1960,7636.93
1859,7547.85
1882,7593.29
1867,7573.09
1898.5,7603.22
1901.5,7617.7
1985,7687.99
1987,7692.04
1887.5,7591.96
1945,7651.33
1955,7661.87
1888,7600.45
1923.5,7626.33
1966,7676.28
1974.5,7683.97
1966.5,7678.79
1943.5,7655.79
2008,7709.05
1942.5,7658.26
1958,7663.17
1992,7701.31
1988.5,7700.85
2049,7748.76
1937.5,7652.91
1867.5,7575.93
1952.5,7659.1
1947.5,7663.78
2012.5,7718.48
2059.5,7776.65
2070,7741.77
1996,7667.01
1980,7642.45
1953.5,7611.64
1813.5,7497.87
1909.5,7556.38
1897.5,7558.59
1942.5,7591.26
1914.5,7565.7
1921,7574.24
1909,7563.22
1927,7577.49
1927,7577.49
1970,7617.22
1906,7563.21
1857,7516.03
1775,7432.42
1847.5,7504.6
1805.5,7457.86
1741.5,7383.28
1685.5,7318.96
1649.5,7277.7
1647.5,7279.3
1636.5,7273.54
1674.5,7313.36
1644,7281.57
1671.5,7304.04
1664.5,7302.1
1661.5,7300.23
1694,7331.12
1729,7367.32
1837,7490.23
1824.5,7458.41
1865.5,7507.56
1873,7511.49
1912.5,7545.44
1884.5,7510.2
1866,7495.67
1846,7474.55
1884,7510.28
1784.5,7418.34
1691,7318.54
1609.5,7233.33
1610.5,7237.59
1530.5,7145.74
1393,7006.93
1382,6995.91
1413.5,7029.22
1441,7059.4
1427.5,7054.6
1414.5,7026.99
1435.5,7049.8
1428,7042.8
1353,6955.21
1347.5,6962.98
1383.5,7004.1
1294.5,6939.56
1420,7026.32
1429,7035.85
1516.5,7128.1
1472.5,7114.66
1472.5,7094.12
1488.5,7103.84
1421.5,7040.68
1482.5,7117.28
1513.5,7140.68
1487,7105.34
1441.5,7053.08
1436,7053.76
1416,7033.79
1414.5,7038.01
1425.5,7013.88
1392,7000.89
1344,6947.92
1450.5,7050.23
1367,6960.32
1357,6952.86
1443.5,7036
1425,7016.85
1407.5,7004.52
1458.5,7038.95
1369.5,6980.24
1477,7062.41
1430.5,7022.76
1335,6921.84
1089.5,6704.05
1202.5,6778.11
1143.5,6721.54
1239,6806.94
1288,6880.19
1274.5,6877.5
1233,6845.17
1182,6773.24
1115,6701.59
1184,6765.94
1117.5,6711.93
1106,6721.17
1078,6685.99
1078,6685.99
1078,6685.99
997,6584.68
1139.5,6733.97
1123.5,6728.13
1123.5,6728.13
1128,6734.23
1100.5,6692.66
1237.5,6837.42
1205.5,6810.88
1277.5,6861.6
1319,6906.63
1328.5,6942.87
1313,6918.18
1248.5,6855.02
1298.5,6895.02
1262,6862.68
1236,6834.92
1301.5,6968.33
