A48USU,FTSE100
125,7687.77
131,7648.1
117,7671.11
120,7695.88
107.5,7724.22
112.5,7696.51
106,7731.02
108.5,7748.51
104.5,7762.94
99,7778.64
99,7769.14
99.5,7755.93
105,7725.43
110,7700.96
104.5,7730.79
104.5,7715.44
101,7731.83
113,7643.43
118.5,7615.84
110,7665.54
107,7671.53
129.5,7587.98
141,7533.55
151.5,7490.39
158,7443.43
181,7334.98
243.5,7141.4
203.5,7279.42
234.5,7170.69
277,7092.43
254,7177.06
253.5,7168.01
221,7213.97
208,7234.81
183,7294.7
185,7247.66
184.5,7246.77
175,7281.57
180,7252.39
180,7244.41
160.5,7289.58
166.5,7282.45
174.5,7231.91
195.5,7175.64
223,7069.9
201,7115.98
192,7146.75
190.5,7157.84
172.5,7203.24
165,7224.51
165.5,7214.76
187.5,7138.78
189.5,7132.69
189.5,7139.76
174.5,7164.14
213,7042.93
198.5,7061.27
210.5,7038.97
243.5,6952.59
253,6921.94
266.5,6888.69
228,7000.14
223.5,7044.74
204,7056.61
204,7056.61
204,7056.61
215.5,7030.46
218.5,7034.01
169.5,7199.5
175,7183.64
167,7194.75
148,7266.75
150,7257.14
144,7258.34
139.5,7264.56
148,7198.2
131.5,7226.05
117,7317.34
115,7328.92
110,7368.17
102.5,7398.87
99,7425.4
106,7379.32
95,7421.43
87.5,7502.21
85,7509.3
84,7520.36
79,7543.2
86,7502.69
76.5,7567.14
76.5,7567.14
76.5,7565.75
68.5,7662.52
66,7700.97
62.5,7724.55
63,7710.98
64,7722.98
64.5,7734.2
63,7787.97
65,7778.79
60,7859.17
55.5,7877.45
66,7788.44
72,7716.74
71.5,7730.28
71.5,7730.28
84.5,7632.64
77.5,7689.57
75,7678.2
70.5,7701.77
64,7741.29
66,7686.8
62,7712.37
60.5,7704.4
62.5,7681.07
54.5,7737.43
56.5,7703.81
55.5,7703.71
49,7765.79
62,7633.91
64.5,7631.33
67,7603.85
63,7627.4
70,7556.44
54.5,7682.27
77.5,7509.84
70.5,7537.92
65.5,7621.69
69.5,7615.63
62,7636.93
75,7547.85
69,7593.29
68.5,7573.09
64.5,7603.22
58.5,7617.7
49.5,7687.99
46,7692.04
55.5,7591.96
48.5,7651.33
44.5,7661.87
48.5,7600.45
45,7626.33
39.5,7676.28
39.5,7683.97
41,7678.79
41,7655.79
36.5,7709.05
42,7658.26
39.5,7663.17
36,7701.31
35,7700.85
33,7748.76
41.5,7652.91
46.5,7575.93
37,7659.1
37,7663.78
32,7718.48
31,7776.65
29.5,7741.77
40,7667.01
42.5,7642.45
42.5,7611.64
58,7497.87
45,7556.38
44,7558.59
35.5,7591.26
35,7565.7
35,7574.24
34.5,7563.22
31.5,7577.49
31.5,7577.49
27.5,7617.22
32.5,7563.21
36,7516.03
41.5,7432.42
36,7504.6
40,7457.86
47.5,7383.28
53,7318.96
53.5,7277.7
46.5,7279.3
48,7273.54
44.5,7313.36
42.5,7281.57
38,7304.04
37.5,7302.1
37,7300.23
34,7331.12
29,7367.32
23,7490.23
24.5,7458.41
21,7507.56
20,7511.49
18.5,7545.44
19.5,7510.2
19,7495.67
20.5,7474.55
16.5,7510.28
22.5,7418.34
28,7318.54
36,7233.33
34,7237.59
45,7145.74
68,7006.93
67.5,6995.91
60,7029.22
52,7059.4
55.5,7054.6
55,7026.99
54,7049.8
51,7042.8
66.5,6955.21
66,6962.98
60,7004.1
83.5,6939.56
59,7026.32
58.5,7035.85
42,7128.1
44,7114.66
41.5,7094.12
35.5,7103.84
40.5,7040.68
29.5,7117.28
25,7140.68
26.5,7105.34
32,7053.08
34.5,7053.76
35,7033.79
42.5,7038.01
35,7013.88
37,7000.89
49.5,6947.92
30,7050.23
41,6960.32
39.5,6952.86
27.5,7036
28.5,7016.85
29.5,7004.52
26.5,7038.95
30.5,6980.24
20.5,7062.41
23.5,7022.76
36.5,6921.84
104.5,6704.05
74.5,6778.11
87.5,6721.54
53,6806.94
41.5,6880.19
34.5,6877.5
38.5,6845.17
45.5,6773.24
57.5,6701.59
42,6765.94
54.5,6711.93
49.5,6721.17
56.5,6685.99
56.5,6685.99
56.5,6685.99
81.5,6584.68
41.5,6733.97
39,6728.13
39,6728.13
31.5,6734.23
31.5,6692.66
12,6837.42
9.5,6810.88
4.5,6861.6
3,6906.63
2,6942.87
1,6918.18
1.5,6855.02
1,6895.02
,6862.68
,6834.92
,6968.33
