C22BOP,FTSE100
19,7687.77
26,7648.1
19.5,7671.11
30,7695.88
23,7724.22
20.5,7696.51
19,7731.02
20,7748.51
19.5,7762.94
18,7778.64
16,7769.14
13.5,7755.93
14.5,7725.43
15,7700.96
14,7730.79
14,7715.44
14.5,7731.83
16,7643.43
15,7615.84
14,7665.54
13,7671.53
16,7587.98
18,7533.55
21,7490.39
21,7443.43
24.5,7334.98
45,7141.4
36.5,7279.42
43,7170.69
55,7092.43
51.5,7177.06
51.5,7168.01
41.5,7213.97
38.5,7234.81
30,7294.7
29,7247.66
28.5,7246.77
27.5,7281.57
28.5,7252.39
28,7244.41
24,7289.58
25,7282.45
27.5,7231.91
32.5,7175.64
40,7069.9
32.5,7115.98
30.5,7146.75
30,7157.84
27,7203.24
25.5,7224.51
26,7214.76
27.5,7138.78
28,7132.69
28,7139.76
24,7164.14
30,7042.93
26.5,7061.27
28.5,7038.97
34,6952.59
38.5,6921.94
40.5,6888.69
32.5,7000.14
32.5,7044.74
34.5,7056.61
34.5,7056.61
34.5,7056.61
32.5,7030.46
33.5,7034.01
26,7199.5
28,7183.64
26,7194.75
22,7266.75
22.5,7257.14
21,7258.34
21,7264.56
23,7198.2
19.5,7226.05
18.5,7317.34
18,7328.92
17,7368.17
16,7398.87
16,7425.4
17,7379.32
15,7421.43
14,7502.21
13.5,7509.3
13.5,7520.36
13,7543.2
14,7502.69
12.5,7567.14
12.5,7567.14
12.5,7565.75
11.5,7662.52
11.5,7700.97
11.5,7724.55
11.5,7710.98
12.5,7722.98
12.5,7734.2
12,7787.97
13,7778.79
12.5,7859.17
11,7877.45
12.5,7788.44
14,7716.74
14.5,7730.28
14.5,7730.28
16,7632.64
13.5,7689.57
13,7678.2
12,7701.77
11,7741.29
11,7686.8
10,7712.37
10.5,7704.4
10.5,7681.07
9.5,7737.43
9.5,7703.81
9.5,7703.71
8,7765.79
10,7633.91
10.5,7631.33
10.5,7603.85
10,7627.4
10,7556.44
7.5,7682.27
12,7509.84
10.5,7537.92
10,7621.69
11,7615.63
9,7636.93
11,7547.85
10,7593.29
9.5,7573.09
9.5,7603.22
7.5,7617.7
7,7687.99
7,7692.04
8,7591.96
7,7651.33
6.5,7661.87
6.5,7600.45
6.5,7626.33
5.5,7676.28
5.5,7683.97
6,7678.79
6,7655.79
6,7709.05
6.5,7658.26
6.5,7663.17
5.5,7701.31
4.5,7700.85
4.5,7748.76
5.5,7652.91
6,7575.93
4.5,7659.1
4.5,7663.78
4.5,7718.48
4,7776.65
3.5,7741.77
5,7667.01
5.5,7642.45
5,7611.64
7,7497.87
5.5,7556.38
5.5,7558.59
4,7591.26
4,7565.7
4,7574.24
4,7563.22
3.5,7577.49
3.5,7577.49
3,7617.22
4,7563.21
4.5,7516.03
4.5,7432.42
4,7504.6
4.5,7457.86
5.5,7383.28
6,7318.96
6,7277.7
4.5,7279.3
4.5,7273.54
4.5,7313.36
3.5,7281.57
3,7304.04
3,7302.1
3,7300.23
2.5,7331.12
2,7367.32
1.5,7490.23
1.5,7458.41
1.5,7507.56
1.5,7511.49
1,7545.44
1.5,7510.2
1,7495.67
1.5,7474.55
1,7510.28
1.5,7418.34
1.5,7318.54
2,7233.33
2,7237.59
3.5,7145.74
5,7006.93
5.5,6995.91
5.5,7029.22
5,7059.4
5.5,7054.6
4.5,7026.99
4.5,7049.8
2.5,7042.8
3,6955.21
3,6962.98
2.5,7004.1
5,6939.56
3.5,7026.32
3.5,7035.85
2,7128.1
2,7114.66
2,7094.12
2.5,7103.84
1.5,7040.68
1,7117.28
1.5,7140.68
0.5,7105.34
1.5,7053.08
2,7053.76
1.5,7033.79
3,7038.01
1.5,7013.88
1.5,7000.89
2,6947.92
1.5,7050.23
2,6960.32
2,6952.86
1,7036
1,7016.85
1,7004.52
1,7038.95
1,6980.24
0.5,7062.41
1,7022.76
1.5,6921.84
6,6704.05
4,6778.11
2.5,6721.54
2,6806.94
1.5,6880.19
1,6877.5
1,6845.17
0.5,6773.24
0.5,6701.59
1,6765.94
1,6711.93
1,6721.17
1.5,6685.99
1.5,6685.99
1.5,6685.99
1,6584.68
0.5,6733.97
0.5,6728.13
0.5,6728.13
0.5,6734.23
,6692.66
,6837.42
,6810.88
,6861.6
,6906.63
,6942.87
,6918.18
,6855.02
,6895.02
,6862.68
,6834.92
,6968.33
