D09YJ4,FTSE100
305.5,7687.77
315,7648.1
299.5,7671.11
293.5,7695.88
282,7724.22
288.5,7696.51
276,7731.02
275.5,7748.51
265.5,7762.94
256.5,7778.64
258.5,7769.14
265,7755.93
278,7725.43
289,7700.96
275.5,7730.79
278.5,7715.44
267.5,7731.83
295.5,7643.43
311,7615.84
291.5,7665.54
288,7671.53
333.5,7587.98
359,7533.55
376.5,7490.39
393.5,7443.43
446.5,7334.98
557.5,7141.4
475.5,7279.42
539.5,7170.69
608.5,7092.43
555.5,7177.06
558.5,7168.01
513,7213.97
488,7234.81
445,7294.7
459.5,7247.66
461.5,7246.77
438,7281.57
448.5,7252.39
450.5,7244.41
413,7289.58
425.5,7282.45
445.5,7231.91
488.5,7175.64
541,7069.9
504,7115.98
485,7146.75
481.5,7157.84
445,7203.24
431.5,7224.51
435.5,7214.76
484,7138.78
484,7132.69
483.5,7139.76
466,7164.14
551.5,7042.93
524.5,7061.27
551.5,7038.97
616.5,6952.59
629,6921.94
660,6888.69
586,7000.14
569,7044.74
530.5,7056.61
530.5,7056.61
530.5,7056.61
557.5,7030.46
561,7034.01
453,7199.5
466.5,7183.64
452.5,7194.75
408.5,7266.75
412.5,7257.14
403.5,7258.34
394,7264.56
421.5,7198.2
392.5,7226.05
348,7317.34
340,7328.92
326,7368.17
304.5,7398.87
295,7425.4
313,7379.32
285.5,7421.43
257.5,7502.21
252,7509.3
247.5,7520.36
233.5,7543.2
254.5,7502.69
227,7567.14
227,7567.14
226,7565.75
200,7662.52
185,7700.97
177,7724.55
179,7710.98
177,7722.98
177,7734.2
166.5,7787.97
170.5,7778.79
154,7859.17
143.5,7877.45
176.5,7788.44
191.5,7716.74
188,7730.28
188,7730.28
227,7632.64
213,7689.57
207,7678.2
196,7701.77
179.5,7741.29
190.5,7686.8
180,7712.37
175,7704.4
183.5,7681.07
160.5,7737.43
168,7703.81
165,7703.71
145.5,7765.79
186,7633.91
191.5,7631.33
200,7603.85
188,7627.4
215,7556.44
169,7682.27
234.5,7509.84
215,7537.92
198,7621.69
203,7615.63
182.5,7636.93
220.5,7547.85
204.5,7593.29
206,7573.09
192.5,7603.22
184.5,7617.7
155.5,7687.99
145.5,7692.04
175.5,7591.96
155,7651.33
149,7661.87
166,7600.45
154.5,7626.33
136.5,7676.28
135.5,7683.97
138.5,7678.79
142,7655.79
122.5,7709.05
142.5,7658.26
134.5,7663.17
123.5,7701.31
125,7700.85
112.5,7748.76
142.5,7652.91
163,7575.93
131.5,7659.1
131.5,7663.78
111,7718.48
105,7776.65
99.5,7741.77
127,7667.01
134,7642.45
139,7611.64
190.5,7497.87
149.5,7556.38
149,7558.59
125.5,7591.26
127.5,7565.7
126,7574.24
127.5,7563.22
118.5,7577.49
118.5,7577.49
106,7617.22
124.5,7563.21
140,7516.03
169,7432.42
144.5,7504.6
159.5,7457.86
182,7383.28
205.5,7318.96
213.5,7277.7
207,7279.3
211,7273.54
195,7313.36
201.5,7281.57
184.5,7304.04
185.5,7302.1
185,7300.23
170.5,7331.12
152.5,7367.32
118,7490.23
123,7458.41
108,7507.56
103.5,7511.49
94,7545.44
101.5,7510.2
102.5,7495.67
108.5,7474.55
91.5,7510.28
125.5,7418.34
162.5,7318.54
203,7233.33
200.5,7237.59
245,7145.74
339.5,7006.93
342.5,6995.91
313.5,7029.22
287,7059.4
296,7054.6
301.5,7026.99
282.5,7049.8
287.5,7042.8
346.5,6955.21
348,6962.98
322,7004.1
398,6939.56
304.5,7026.32
299.5,7035.85
238.5,7128.1
260.5,7114.66
254.5,7094.12
239.5,7103.84
277.5,7040.68
227.5,7117.28
204,7140.68
223,7105.34
255.5,7053.08
255.5,7053.76
272.5,7033.79
278.5,7038.01
259,7013.88
279.5,7000.89
322.5,6947.92
241,7050.23
298.5,6960.32
304,6952.86
239.5,7036
250.5,7016.85
263.5,7004.52
230,7038.95
287,6980.24
208,7062.41
238.5,7022.76
315.5,6921.84
550,6704.05
445,6778.11
494,6721.54
399.5,6806.94
353.5,6880.19
356.5,6877.5
390,6845.17
434.5,6773.24
498.5,6701.59
432.5,6765.94
494.5,6711.93
503,6721.17
530.5,6685.99
530.5,6685.99
530.5,6685.99
612,6584.68
468,6733.97
481.5,6728.13
481.5,6728.13
474.5,6734.23
501.5,6692.66
365.5,6837.42
396.5,6810.88
324.5,6861.6
283,6906.63
273,6942.87
287.5,6918.18
352,6855.02
302,6895.02
338,6862.68
364,6834.92
298.5,6968.33
