D64WVO,FTSE100
2063.5,7687.77
2024.5,7648.1
2044.5,7671.11
2073.5,7695.88
2080.5,7724.22
2065.5,7696.51
2094.5,7731.02
2108,7748.51
2129.5,7762.94
2140.5,7778.64
2131.5,7769.14
2110.5,7755.93
2081,7725.43
2059.5,7700.96
2092.5,7730.79
2074,7715.44
2094,7731.83
2028,7643.43
1983,7615.84
2034,7665.54
2037.5,7671.53
1970.5,7587.98
1907,7533.55
1871,7490.39
1826,7443.43
1751.5,7334.98
1597.5,7141.4
1707.5,7279.42
1608,7170.69
1542.5,7092.43
1638,7177.06
1622.5,7168.01
1654.5,7213.97
1686,7234.81
1731,7294.7
1690.5,7247.66
1682,7246.77
1721,7281.57
1706.5,7252.39
1697.5,7244.41
1742.5,7289.58
1725,7282.45
1691,7231.91
1627.5,7175.64
1556,7069.9
1586,7115.98
1613,7146.75
1618,7157.84
1667,7203.24
1681,7224.51
1673.5,7214.76
1599,7138.78
1603,7132.69
1609.5,7139.76
1621.5,7164.14
1508.5,7042.93
1537,7061.27
1498.5,7038.97
1423,6952.59
1412.5,6921.94
1369.5,6888.69
1459.5,7000.14
1493.5,7044.74
1541.5,7056.61
1541.5,7056.61
1541.5,7056.61
1503.5,7030.46
1503,7034.01
1656,7199.5
1634,7183.64
1647.5,7194.75
1716,7266.75
1712,7257.14
1715.5,7258.34
1725.5,7264.56
1668,7198.2
1695,7226.05
1777,7317.34
1793.5,7328.92
1823.5,7368.17
1862.5,7398.87
1879.5,7425.4
1841.5,7379.32
1884.5,7421.43
1966,7502.21
1970.5,7509.3
1981,7520.36
2017.5,7543.2
1970.5,7502.69
2032,7567.14
2032,7567.14
2038.5,7565.75
2124,7662.52
2194.5,7700.97
2215.5,7724.55
2197,7710.98
2221,7722.98
2231.5,7734.2
2274,7787.97
2274.5,7778.79
2357.5,7859.17
2388.5,7877.45
2279.5,7788.44
2234,7716.74
2233.5,7730.28
2233.5,7730.28
2136,7632.64
2166,7689.57
2181,7678.2
2193.5,7701.77
2234,7741.29
2185,7686.8
2208,7712.37
2216,7704.4
2184,7681.07
2252,7737.43
2213,7703.81
2215,7703.71
2272.5,7765.79
2141.5,7633.91
2141,7631.33
2113.5,7603.85
2151,7627.4
2068,7556.44
2194.5,7682.27
2022,7509.84
2070,7537.92
2122.5,7621.69
2129.5,7615.63
2178.5,7636.93
2076.5,7547.85
2100,7593.29
2085,7573.09
2117,7603.22
2121,7617.7
2204.5,7687.99
2207.5,7692.04
2107,7591.96
2165.5,7651.33
2175.5,7661.87
2108,7600.45
2143.5,7626.33
2187,7676.28
2195.5,7683.97
2187,7678.79
2164.5,7655.79
2229,7709.05
2163,7658.26
2179,7663.17
2213,7701.31
2210,7700.85
2270.5,7748.76
2158.5,7652.91
2088,7575.93
2173.5,7659.1
2168.5,7663.78
2234,7718.48
2281,7776.65
2291.5,7741.77
2216.5,7667.01
2200.5,7642.45
2174,7611.64
2032.5,7497.87
2129.5,7556.38
2118,7558.59
2163.5,7591.26
2136,7565.7
2142.5,7574.24
2130,7563.22
2148.5,7577.49
2148.5,7577.49
2192,7617.22
2127.5,7563.21
2078.5,7516.03
1996,7432.42
2069,7504.6
2026.5,7457.86
1962,7383.28
1905.5,7318.96
1869.5,7277.7
1868.5,7279.3
1857,7273.54
1895.5,7313.36
1865,7281.57
1893,7304.04
1886,7302.1
1883,7300.23
1916,7331.12
1951,7367.32
2059.5,7490.23
2047.5,7458.41
2088,7507.56
2096,7511.49
2135.5,7545.44
2107.5,7510.2
2089,7495.67
2068.5,7474.55
2107,7510.28
2007.5,7418.34
1913.5,7318.54
1831.5,7233.33
1832.5,7237.59
1752,7145.74
1612.5,7006.93
1602,6995.91
1634,7029.22
1661.5,7059.4
1648.5,7054.6
1635.5,7026.99
1656,7049.8
1649,7042.8
1572.5,6955.21
1567.5,6962.98
1603.5,7004.1
1513,6939.56
1640.5,7026.32
1649.5,7035.85
1738,7128.1
1694,7114.66
1694.5,7094.12
1711,7103.84
1643.5,7040.68
1705,7117.28
1736.5,7140.68
1710,7105.34
1664.5,7053.08
1658.5,7053.76
1638.5,7033.79
1636,7038.01
1647.5,7013.88
1614.5,7000.89
1565,6947.92
1673.5,7050.23
1589,6960.32
1579,6952.86
1666.5,7036
1648,7016.85
1630.5,7004.52
1681.5,7038.95
1592.5,6980.24
1700.5,7062.41
1654,7022.76
1558,6921.84
1307.5,6704.05
1422.5,6778.11
1362.5,6721.54
1460.5,6806.94
1510.5,6880.19
1497.5,6877.5
1455.5,6845.17
1405,6773.24
1337,6701.59
1406.5,6765.94
1340,6711.93
1329,6721.17
1301,6685.99
1301,6685.99
1301,6685.99
1219,6584.68
1363,6733.97
1347,6728.13
1347,6728.13
1352,6734.23
1324.5,6692.66
1462,6837.42
1430,6810.88
1502.5,6861.6
1544,6906.63
1553.5,6942.87
1538,6918.18
1473.5,6855.02
1523.5,6895.02
1487,6862.68
1461,6834.92
1526.5,6968.33
